Date,Open,High,Low,Close,Volume,Return,MA5,MA10,MA20,Price_Change,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower,Target
2020-03-10,-1.827139337945398,-1.8020758082145123,-1.8413491470956493,-1.7916418184876512,1.927732103597539,0.2412442642208887,-1.7363404314308815,-1.7893075796784486,-1.7825576445789222,0.7413167117032281,-0.6691683267499969,-0.4996120808385638,-0.4293777397937888,-1.8069850746109486,-1.8133105230441202,1
2020-03-11,-1.782288881810402,-1.7931401674740324,-1.8352410565997221,-1.8214323562943473,1.4586782560166192,-0.8002185810361503,-1.7582229608820308,-1.8015341533207254,-1.7917227249720507,-0.9434943676899205,-1.0150541905011499,-0.5499199463870779,-0.45719700089265347,-1.8063732788277438,-1.8335515485292246,0
2020-03-12,-1.8420888138363671,-1.8616414660479383,-1.9268518355629431,-1.86909863114863,3.9313398264505777,-1.3015856820225,-1.7925252490570152,-1.8165117029228726,-1.8044606501005824,-0.6739244469360569,-1.1433090789319809,-0.6266625677588563,-0.49524507033236753,-1.8054971138755622,-1.861711163829977,0
2020-03-13,-1.9856082083504663,-1.8914247579409516,-2.015408881299852,-1.8929318696017405,5.688724229430201,-0.6685044240465745,-1.8220962521473743,-1.8324062652425899,-1.8184413129941277,2.0217730641841896,-1.1972351423270675,-0.7025630248661979,-0.5413025775143965,-1.8063418346591509,-1.8906642530614828,0
2020-03-16,-1.9258085632903035,-1.9092945875991731,-1.997086784236425,-1.9733682411732347,3.4661073040515182,-2.2872997953399494,-1.856398600489778,-1.8534971327622962,-1.8366161737021762,-1.145671402553181,-1.3071025087163946,-0.8264402415861666,-0.6036407951497383,-1.7973246176109763,-1.9392444230110089,0
2020-03-17,-2.045407858971492,-1.9956654317014402,-2.0612141306805976,-2.0240133677562486,4.307043794007215,-1.5104666571433312,-1.9025293019343894,-1.8837579616101305,-1.8563444460808876,0.4043546116018229,-1.4768027624137785,-0.9605454185973266,-0.6811081128060045,-1.7842594453169898,-1.9955215573164882,0
2020-03-18,-2.01849767648853,-2.0194915257755786,-2.0917506232743768,-2.0716790364547157,4.119776933630263,-1.4666939979590017,-1.9522085975552121,-1.9207433707186068,-1.8756066970655205,-1.2804565417710412,-1.512769398333514,-1.098609208593821,-0.7714931675508443,-1.7642386939661694,-2.058326556024339,0
2020-03-19,-2.108516570308045,-2.1210142389730837,-2.2274172717460723,-2.128832053923621,6.209974101109174,-1.8127350957531836,-2.0037712136281924,-1.9651210624345066,-1.8992471343939334,-0.5443739301290058,-1.562359161766239,-1.2466189350668806,-0.8742590829473924,-1.7488645107969116,-2.1254587301932366,0
2020-03-20,-2.0692694440370367,-2.018768756714225,-2.1010007335684517,-1.9964779316347163,6.0583214594091785,4.35871254584901,-2.0243273122058505,-1.9910283301816492,-1.915675529014366,1.5650750232159956,-0.826588175945553,-1.2339593958191608,-0.9538658074819477,-1.7606716002438032,-2.1477835682027546,1
2020-03-23,-2.0783266663356703,-2.0638772594316097,-2.1256675674703933,-2.0867195807018173,2.1453862023473294,-2.7297049231049617,-2.046829967193513,-2.0203869482082,-1.9366540615797079,-0.2721869276978525,-1.1489312265403873,-1.2917359911406847,-1.0294403701146138,-1.7671338086770765,-2.1856100563447525,0
